work_order_id,component_number,equipment_number,component_category,comment,users,created_at,scheduled_start_date,scheduled_completion_date,started_at,estimated_hours,actual_hours,finished_at,actual_start_date,status,priority,was_planned_maintenance,did_require_shutdown,activity_type
3027921,PV1-1123-TRH0403-TIR,403,TIRE SYSTEM HAULTRUCK CATERPILLAR 789C 403,INSPECTION OF TIRES IN PREVENTIVE MAINTENANCE,36886,20-Jan-16,26-Jan-16,26-Jan-16,1/26/2016 15:00,2,1,26-Jan-16,26-Jan-16,Closed,3 - Due less than 30 days,Y,Required,IN-Inspection
3030243,PV1-1123-TRH0403-AIR,403,AIR SYSTEM HAULTRUCK CATERPILLAR 789C 403,Check air leak through the horn,28666,22-Jan-16,22-Jan-16,22-Jan-16,1/22/2016 14:08,2,1,22-Jan-16,22-Jan-16,Closed,1 - Due less than 7 days,N,Required,RP-Repair
3035720,PV1-1123-TRH0403-HYS-SS,403,STEERING SYSTEM HYDRAULIC SYSTEM HAULTRUCK CATERPILLAR 789C 403,"CHANGE PIPING SYSTEM (BACKLOG), FOR EXTERNAL LEAKAGE",32468,27-Jan-16,27-Apr-16,27-Apr-16,4/27/2016 17:05,4,NULL,03-Mar-16,03-Mar-16,Closed,3 - Due less than 30 days,N,Required,RE-Replace
3036374,PV1-1123-TRH0403,403,HAULTRUCK CATERPILLAR 789C 403,PREVENTIVE MAINTENANCE EVERY 4000HRS,21711,28-Jan-16,08-Mar-16,08-Mar-16,03-08-16 4:00,2,1,08-Mar-16,08-Mar-16,Closed,3 - Due less than 30 days,Y,Required,SR-Service
3037336,PV1-1123-TRH0403-HYS-SS,403,STEERING SYSTEM HYDRAULIC SYSTEM HAULTRUCK CATERPILLAR 789C 403,INSPECTION AND EVALUATION OF LEAK PUMP LEAK,21455,28-Jan-16,28-Jan-16,29-Jan-16,1/28/2016 22:53,4,4,29-Jan-16,28-Jan-16,Closed,0 - Immediate,N,Required,IN-Inspection
3042898,PV1-1123-TRH0403-ELS,403,ELECTRICAL SYSTEM HAULTRUCK CATERPILLAR 789C 403,"CHANGE HIGH INTENSITY LIGHT, RIGHT SIDE.",37814,02-Feb-16,02-Feb-16,02-Feb-16,02-02-16 17:51,2,12,02-Feb-16,02-Feb-16,Closed,1 - Due less than 7 days,N,Required,RE-Replace
3044856,PV1-1123-TRH0403-ACS,403,AIR CONDITIONING SYSTEM HAULTRUCK CATERPILLAR 789C 403,INSPECTION A / C IN INSP. 500 HRS,30796,04-Feb-16,09-Feb-16,09-Feb-16,02-09-16 8:43,1,3,09-Feb-16,09-Feb-16,Closed,3 - Due less than 30 days,N,Required,IN-Inspection
3045046,PV1-1123-TRH0403-FIRE,403,FIRE SUPRESSION SYSTEM HAULTRUCK CATERPILLAR 789C 403,INSPECTION FIRE SYSTEM AFEX (PM 500 HRS),30796,04-Feb-16,09-Feb-16,09-Feb-16,02-09-16 10:10,2,2,09-Feb-16,09-Feb-16,Closed,3 - Due less than 30 days,N,Required,IN-Inspection
3045845,PV1-1123-TRH0403-TIR,403,TIRE SYSTEM HAULTRUCK CATERPILLAR 789C 403,INSPECTION OF TIRES IN PREVENTIVE MAINTENANCE,36886,05-Feb-16,09-Feb-16,09-Feb-16,02-09-16 7:00,2,2,09-Feb-16,09-Feb-16,Closed,3 - Due less than 30 days,N,Required,IN-Inspection
3048459,PV1-1123-TRH0403-AIR,403,AIR SYSTEM HAULTRUCK CATERPILLAR 789C 403,CHANGE OF DRAIN VALVE BELOW CAVINE OF SERVICE AIR,38045,08-Feb-16,01-May-16,01-May-16,05-01-16 13:00,1,1,01-May-16,01-May-16,Closed,3 - Due less than 30 days,Y,Not Required,RE-Replace
3050633,PV1-1123-TRH0403-FRM,403,FRAME HAULTRUCK CATERPILLAR 789C 403,REPAIR AUXILIARY STAIRCASE,37470,09-Feb-16,09-Feb-16,10-Feb-16,02-09-16 21:15,2,4,10-Feb-16,09-Feb-16,Closed,1 - Due less than 7 days,N,Required,RE-Replace
3054645,PV1-1123-TRH0403-ACS,403,AIR CONDITIONING SYSTEM HAULTRUCK CATERPILLAR 789C 403,INSPECTION A / C IN PM 250 HRS,30796,11-Feb-16,21-Feb-16,21-Feb-16,2/21/2016 16:03,2,1,21-Feb-16,21-Feb-16,Closed,3 - Due less than 30 days,N,Required,IN-Inspection
3054705,PV1-1123-TRH0403-FIRE,403,FIRE SUPRESSION SYSTEM HAULTRUCK CATERPILLAR 789C 403,INSPECTION SYSTEM AFEX FIRE RED (PM 250 HRS),30796,11-Feb-16,21-Feb-16,21-Feb-16,2/21/2016 14:51,2,3,21-Feb-16,21-Feb-16,Closed,3 - Due less than 30 days,N,Required,IN-Inspection
3055499,PV1-1123-TRH0403-TIR,403,TIRE SYSTEM HAULTRUCK CATERPILLAR 789C 403,INSPECTION OF TIRES IN PREVENTIVE MAINTENANCE,36886,12-Feb-16,21-Feb-16,21-Feb-16,2/21/2016 15:00,2,1,21-Feb-16,21-Feb-16,Closed,3 - Due less than 30 days,Y,Required,IN-Inspection
3061637,PV1-1123-TRH0403-ELS,403,ELECTRICAL SYSTEM HAULTRUCK CATERPILLAR 789C 403,Check the operation of the load indicator panels.,19913,17-Feb-16,08-Mar-16,08-Mar-16,03-08-16 7:16,2,2,08-Mar-16,08-Mar-16,Closed,2 - Due less than 14 days,N,Required,IN-Inspection
3063949,PV1-1123-TRH0403-ENG,403,ENGINE HAULTRUCK CATERPILLAR 789C 403,INSPECT SMOKE EXTRA ¥ O.,37814,18-Feb-16,18-Feb-16,18-Feb-16,2/18/2016 22:46,2,2,18-Feb-16,18-Feb-16,Closed,1 - Due less than 7 days,N,Required,IN-Inspection
3064701,PV1-1123-TRH0403-ENG,403,ENGINE HAULTRUCK CATERPILLAR 789C 403,CORRECTION LOW ENGINE POWER FAILURE + ADJUST LODGE GUARD.,37814,20-Feb-16,20-Feb-16,20-Feb-16,2/20/2016 0:46,2,15,20-Feb-16,19-Feb-16,Closed,1 - Due less than 7 days,N,Required,RP-Repair
3067721,PV1-1123-TRH0403-DTS-WHL-FRR,403,WHEEL GROUP FRONT RIGHT DRIVETRAIN SYSTEM HAULTRUCK CATERPILLAR 789C 403,INSPECT MAGNETIC CAP. TAKING PHOTOS AND SUBMITTING MONITORING PERSONNEL (TASK ADDED TO PM OPTIMATION),27046,23-Feb-16,08-Mar-16,08-Mar-16,03-08-16 8:08,1,NULL,NULL,NULL,Cancelled,2 - Due less than 14 days,N,Required,PDM-Predictive
3071964,PV1-1123-TRH0403-ENG,403,ENGINE HAULTRUCK CATERPILLAR 789C 403,EVALUATE LOW ENGINE POWER,37470,25-Feb-16,25-Feb-16,25-Feb-16,2/25/2016 22:49,2,2,25-Feb-16,25-Feb-16,Closed,1 - Due less than 7 days,N,Required,IN-Inspection
3073163,PV1-1123-TRH0403-ENG-STR,403,STARTER ENGINE HAULTRUCK CATERPILLAR 789C 403,IGNITION EQUIPMENT. SHUT OFF.,37814,27-Feb-16,27-Feb-16,27-Feb-16,2/27/2016 4:34,6,3,27-Feb-16,27-Feb-16,Closed,1 - Due less than 7 days,N,Required,RP-Repair
3073738,PV1-1123-TRH0403-ENG,403,ENGINE HAULTRUCK CATERPILLAR 789C 403,POWER LOSS.,37814,28-Feb-16,28-Feb-16,28-Feb-16,2/28/2016 7:43,2,4,28-Feb-16,28-Feb-16,Closed,1 - Due less than 7 days,N,Required,RP-Repair
3073958,PV1-1123-TRH0403-DTS-TRA,403,TRANSMISSION DRIVETRAIN SYSTEM HAULTRUCK CATERPILLAR 789C 403,TRANSMISSION FILTER CHANGE.,37815,28-Feb-16,28-Feb-16,28-Feb-16,2/28/2016 17:23,2,2,28-Feb-16,28-Feb-16,Closed,0 - Immediate,N,Required,RP-Repair
3074864,PV1-1123-TRH0403-TIR,403,TIRE SYSTEM HAULTRUCK CATERPILLAR 789C 403,COMPLETE AIR POSITION 4.,37814,29-Feb-16,29-Feb-16,29-Feb-16,2/29/2016 13:16,1,3,29-Feb-16,29-Feb-16,Closed,1 - Due less than 7 days,N,Required,SR-Service
3076103,PV1-1123-TRH0403-TIR,403,TIRE SYSTEM HAULTRUCK CATERPILLAR 789C 403,POSITION 1 AND 2 ROTATION TIRES CHANGE,36886,01-Mar-16,08-Mar-16,08-Mar-16,03-08-16 11:00,24,18,09-Mar-16,09-Mar-16,Closed,3 - Due less than 30 days,Y,Required,RE-Replace
3080522,PV1-1123-TRH0403-ENG,403,ENGINE HAULTRUCK CATERPILLAR 789C 403,"ADJUST VALVES, ROTATORS AND / OR INJECTORS TO THE THERMAL ENGINE (CAT789C)",30796,03-Mar-16,08-Mar-16,08-Mar-16,03-08-16 9:55,16,20,08-Mar-16,08-Mar-16,Closed,4 - Due more than 30 days,N,Required,AD-Adjust
3080595,PV1-1123-TRH0403,403,HAULTRUCK CATERPILLAR 789C 403,PREVENTIVE MAINTENANCE EACH 500HRS,21711,03-Mar-16,05-Apr-16,05-Apr-16,04-05-16 4:00,2,1,05-Apr-16,05-Apr-16,Closed,3 - Due less than 30 days,Y,Required,SR-Service
3080611,PV1-1123-TRH0403,403,HAULTRUCK CATERPILLAR 789C 403,PREVENTIVE INSPECTION EVERY 250HRS,21711,03-Mar-16,04-Jun-16,04-Jun-16,06-04-16 12:31,2,NULL,20-Apr-16,20-Apr-16,Closed,3 - Due less than 30 days,Y,Required,IN-Inspection
3080635,PV1-1123-TRH0403,403,HAULTRUCK CATERPILLAR 789C 403,PREVENTIVE MAINTENANCE EVERY 1000HRS,21711,03-Mar-16,01-May-16,01-May-16,05-01-16 9:30,20,20,01-May-16,01-May-16,Closed,3 - Due less than 30 days,Y,Required,SR-Service
3080845,PV1-1123-TRH0403-ACS,403,AIR CONDITIONING SYSTEM HAULTRUCK CATERPILLAR 789C 403,INSPECTION A / C IN INSP. 4000 HRS,30796,03-Mar-16,08-Mar-16,08-Mar-16,03-08-16 11:38,1,1,08-Mar-16,08-Mar-16,Closed,3 - Due less than 30 days,N,Required,IN-Inspection
3080872,PV1-1123-TRH0403-FIRE,403,FIRE SUPRESSION SYSTEM HAULTRUCK CATERPILLAR 789C 403,INSPECTION FIRE SYSTEM AFEX (PM 4000 HRS),30796,03-Mar-16,08-Mar-16,08-Mar-16,03-08-16 12:26,2,7,09-Mar-16,08-Mar-16,Closed,3 - Due less than 30 days,N,Required,IN-Inspection
3081710,PV1-1123-TRH0403-HYS,403,HYDRAULIC SYSTEM HAULTRUCK CATERPILLAR 789C 403,ADJUSTING STEERING SAMPLES,37470,04-Mar-16,04-Mar-16,04-Mar-16,03-04-16 12:29,1,1,03-Mar-16,03-Mar-16,Closed,1 - Due less than 7 days,N,Required,AD-Adjust
3082415,PV1-1123-TRH0403-TIR,403,TIRE SYSTEM HAULTRUCK CATERPILLAR 789C 403,CHANGE PLATE POSITION 4. BY CUT ON SIDE.,37814,05-Mar-16,05-Mar-16,05-Mar-16,03-05-16 19:08,12,15,05-Mar-16,05-Mar-16,Closed,1 - Due less than 7 days,N,Required,RE-Replace
3085881,PV1-1123-TRH0403-ACS,403,AIR CONDITIONING SYSTEM HAULTRUCK CATERPILLAR 789C 403,REPLACE HIGH AND LOW PRESSURE SWITCH. SYSTEM A / C. ORDER TRACKING; 3080845,37814,08-Mar-16,08-Mar-16,08-Mar-16,03-08-16 19:57,1,1,08-Mar-16,08-Mar-16,Closed,1 - Due less than 7 days,N,Required,RE-Replace
3085897,PV1-1123-TRH0403-ACS,403,AIR CONDITIONING SYSTEM HAULTRUCK CATERPILLAR 789C 403,REPLACE HIGH HOSE. SYSTEM A / C.,37814,08-Mar-16,08-Mar-16,08-Mar-16,03-08-16 21:00,2,26,09-Mar-16,08-Mar-16,Closed,1 - Due less than 7 days,N,Required,RE-Replace
3089737,PV1-1123-TRH0403-HYS,403,HYDRAULIC SYSTEM HAULTRUCK CATERPILLAR 789C 403,CORRECTION HYDROLOGICAL LEAKAGE BY TRANSMISSION SUCTION TUBER,37470,11-Mar-16,11-Mar-16,11-Mar-16,03-11-16 18:57,4,4,11-Mar-16,11-Mar-16,Closed,1 - Due less than 7 days,N,Required,RE-Replace
3091405,PV1-1123-TRH0403,403,HAULTRUCK CATERPILLAR 789C 403,REPLACE CABLE SAFETY CABLE.,30757,13-Mar-16,17-Aug-16,17-Aug-16,8/17/2016 14:55,4,8,04-Aug-16,04-Aug-16,Complete,1 - Due less than 7 days,N,Required,RE-Replace
3091513,PV1-1123-TRH0403-DTS-BP,403,BRAKE PARK DRIVETRAIN SYSTEM HAULTRUCK CATERPILLAR 789C 403,CHANGE OF BRAKE RELEASE PUMP HOSE.,30757,13-Mar-16,05-Apr-16,05-Apr-16,04-05-16 10:35,2,1,05-Apr-16,05-Apr-16,Closed,1 - Due less than 7 days,N,Required,RE-Replace
3093038,PV1-1123-TRH0403-ENG,403,ENGINE HAULTRUCK CATERPILLAR 789C 403,CORRECT THERMAL MOTOR FAILURE (SHUTDOWN).,37815,14-Mar-16,14-Mar-16,14-Mar-16,3/14/2016 17:40,6,2,14-Mar-16,14-Mar-16,Closed,0 - Immediate,N,Required,RP-Repair
3093080,PV1-1123-TRH0403-ELS,403,ELECTRICAL SYSTEM HAULTRUCK CATERPILLAR 789C 403,CHANGE OF REAR LIGHTS.,37815,14-Mar-16,14-Mar-16,14-Mar-16,3/14/2016 20:37,4,2,14-Mar-16,14-Mar-16,Closed,0 - Immediate,N,Required,RP-Repair
3099067,PV1-1123-TRH0403-ACS,403,AIR CONDITIONING SYSTEM HAULTRUCK CATERPILLAR 789C 403,INSPECTION A / C IN INSP. 250 HRS,30796,17-Mar-16,25-Mar-16,25-Mar-16,3/25/2016 18:03,1,3,26-Mar-16,26-Mar-16,Closed,3 - Due less than 30 days,N,Required,IN-Inspection
3099111,PV1-1123-TRH0403-FIRE,403,FIRE SUPRESSION SYSTEM HAULTRUCK CATERPILLAR 789C 403,AFEX FIRE SYSTEM INSPECTION (PM 250 HRS),30796,17-Mar-16,25-Mar-16,25-Mar-16,3/25/2016 20:02,2,3,26-Mar-16,26-Mar-16,Closed,3 - Due less than 30 days,N,Required,IN-Inspection
3099819,PV1-1123-TRH0403-TIR,403,TIRE SYSTEM HAULTRUCK CATERPILLAR 789C 403,INSPECTION OF TIRES IN PREVENTIVE MAINTENANCE,36886,18-Mar-16,26-Mar-16,26-Mar-16,3/26/2016 10:48,2,2,26-Mar-16,26-Mar-16,Closed,3 - Due less than 30 days,Y,Required,IN-Inspection
3110627,PV1-1123-TRH0403-IMP-BED,403,BED IMPLEMENTS SYSTEM HAULTRUCK CATERPILLAR 789C 403,Assembly of number laterals of the hopper,28726,22-Mar-16,22-Jun-16,22-Jun-16,6/22/2016 8:00,6,11,22-Jun-16,22-Jun-16,Closed,3 - Due less than 30 days,Y,Required,RP-Repair
3115551,PV1-1123-TRH0403,403,HAULTRUCK CATERPILLAR 789C 403,CHANGE OF COOLING PUMP PRESSURE HOSE.,30757,23-Mar-16,22-Jun-16,22-Jun-16,6/22/2016 22:00,2,2,22-Jun-16,22-Jun-16,Closed,1 - Due less than 7 days,Y,Required,RE-Replace
3120270,PV1-1123-TRH0403-FRM,403,FRAME HAULTRUCK CATERPILLAR 789C 403,Install guiggins lids.,31314,24-Mar-16,20-Sep-16,03-Oct-16,9/20/2016 14:39,4,4,29-Sep-16,20-Sep-16,Complete,2 - Due less than 14 days,N,Not Required,RE-Replace
3134196,PV1-1123-TRH0403-DTS-BRK,403,SYSTEM BRAKE DRIVETRAIN SYSTEM HAULTRUCK CATERPILLAR 789C 403,CHANGE RIGHT REAR BRAKES TEMPERATURE SENSOR,37470,29-Mar-16,29-Mar-16,29-Mar-16,3/29/2016 1:50,4,8,29-Mar-16,29-Mar-16,Closed,1 - Due less than 7 days,N,Required,RE-Replace
3136025,PV1-1123-TRH0403-ACS,403,AIR CONDITIONING SYSTEM HAULTRUCK CATERPILLAR 789C 403,FAILED WITH THE A / C.,37814,29-Mar-16,29-Mar-16,29-Mar-16,3/29/2016 9:36,3,4,29-Mar-16,29-Mar-16,Closed,1 - Due less than 7 days,N,Required,RP-Repair
3142997,PV1-1123-TRH0403-ACS,403,AIR CONDITIONING SYSTEM HAULTRUCK CATERPILLAR 789C 403,INSPECTION A / C IN PM,30796,31-Mar-16,05-Apr-16,05-Apr-16,04-05-16 12:58,1,1,05-Apr-16,05-Apr-16,Closed,3 - Due less than 30 days,N,Required,PDM-Predictive
3143089,PV1-1123-TRH0403-FIRE,403,FIRE SUPRESSION SYSTEM HAULTRUCK CATERPILLAR 789C 403,INSPECTION SYSTEM AFEX FIRE RED,30796,31-Mar-16,05-Apr-16,05-Apr-16,04-05-16 14:12,2,1,05-Apr-16,05-Apr-16,Closed,3 - Due less than 30 days,N,Required,IN-Inspection
3146079,PV1-1123-TRH0403-ENG,403,ENGINE HAULTRUCK CATERPILLAR 789C 403,CORRECT ENGINE FAILURE. (IT TURNED OFF),37814,01-Apr-16,01-Apr-16,01-Apr-16,04-01-16 15:15,6,3,01-Apr-16,01-Apr-16,Closed,1 - Due less than 7 days,N,Required,RP-Repair
3156204,PV1-1123-TRH0403-HYS,403,HYDRAULIC SYSTEM HAULTRUCK CATERPILLAR 789C 403,WIGGING PLUGS FOR FLUID FILLING (BACKLOG) (N),32468,05-Apr-16,16-Aug-16,16-Aug-16,8/16/2016 13:00,1,1,16-Aug-16,16-Aug-16,Complete,3 - Due less than 30 days,Y,Required,RE-Replace
3156216,PV1-1123-TRH0403-HYS,403,HYDRAULIC SYSTEM HAULTRUCK CATERPILLAR 789C 403,INSPECT PUMP PTOP CARDAN OUTPUT YOKE SEAL (GENERATE BACKLOG),32468,05-Apr-16,22-Jun-16,22-Jun-16,6/22/2016 10:00,4,4,22-Jun-16,22-Jun-16,Closed,3 - Due less than 30 days,Y,Required,RE-Replace
3156229,PV1-1123-TRH0403-HYS,403,HYDRAULIC SYSTEM HAULTRUCK CATERPILLAR 789C 403,CHANGE OF HOIST CONTROL HOSES SCREEN SEALS TO THE BOOST PUMP,32468,05-Apr-16,22-Jun-16,22-Jun-16,6/22/2016 19:00,4,1,22-Jun-16,22-Jun-16,Closed,3 - Due less than 30 days,Y,Required,RE-Replace
3156241,PV1-1123-TRH0403-DTS-BRK-REL,403,BRAKE LEFT REAR DRIVETRAIN SYSTEM HAULTRUCK CATERPILLAR 789C 403,SEAL CHANGE OF COOLING LINE BRAKE PIPE LEFT ,32468,05-Apr-16,22-Jun-16,22-Jun-16,6/22/2016 21:00,1,1,22-Jun-16,22-Jun-16,Closed,3 - Due less than 30 days,Y,Required,RE-Replace
3156886,PV1-1123-TRH0403-HYS,403,HYDRAULIC SYSTEM HAULTRUCK CATERPILLAR 789C 403,INSPECT THE AUTOMATIC LUBRICATION SYSTEM,37470,05-Apr-16,04-Apr-16,04-Apr-16,04-04-16 9:15,1,1,04-Apr-16,04-Apr-16,Closed,1 - Due less than 7 days,N,Required,IN-Inspection
3178871,PV1-1123-TRH0403,403,HAULTRUCK CATERPILLAR 789C 403,Change rear left brake temperature sensor,37816,11-Apr-16,11-Apr-16,11-Apr-16,04-11-16 7:44,2,8,11-Apr-16,11-Apr-16,Closed,1 - Due less than 7 days,N,Required,RE-Replace
3182500,PV1-1123-TRH0403-DTS-DIF,403,DIFFERENTIAL DRIVETRAIN SYSTEM HAULTRUCK CATERPILLAR 789C 403,CLEANING MIRROR DIFFERENTIAL OIL AND CHECK AND INSPECTION LEVEL SWITCH.,21711,12-Apr-16,25-Apr-16,25-Apr-16,4/25/2016 14:03,11,NULL,NULL,NULL,Cancelled,5 - Shutdown,Y,Required,RP-Repair
3182751,PV1-1123-TRH0403-DTS,403,DRIVETRAIN SYSTEM HAULTRUCK CATERPILLAR 789C 403,Replace half-axles LH / RH,37816,12-Apr-16,26-May-16,27-May-16,5/26/2016 21:00,16,16,27-May-16,26-May-16,Closed,1 - Due less than 7 days,Y,Required,RE-Replace
3186362,PV1-1123-TRH0403-TIR,403,TIRE SYSTEM HAULTRUCK CATERPILLAR 789C 403,TIRE REPAIR ML00214T8A,36886,13-Apr-16,08-Jun-16,08-Jun-16,06-08-16 7:00,1,NULL,02-Jun-16,02-Jun-16,Complete,4 - Due more than 30 days,Y,Required,RP-Repair
3186365,PV1-1123-TRH0403-TIR,403,TIRE SYSTEM HAULTRUCK CATERPILLAR 789C 403,TIRE REPAIR ML00214T8A,36886,13-Apr-16,08-Jun-16,08-Jun-16,06-08-16 7:00,1,NULL,NULL,NULL,Cancelled,4 - Due more than 30 days,Y,Required,RP-Repair
3186367,PV1-1123-TRH0403-TIR,403,TIRE SYSTEM HAULTRUCK CATERPILLAR 789C 403,TIRE REPAIR MLJ0552A9A,36886,13-Apr-16,08-Jun-16,08-Jun-16,06-08-16 7:00,1,NULL,02-Jun-16,02-Jun-16,Complete,4 - Due more than 30 days,Y,Required,RP-Repair
3186399,PV1-1123-TRH0403,403,HAULTRUCK CATERPILLAR 789C 403,Correct reverse fault,37816,13-Apr-16,13-Apr-16,13-Apr-16,4/13/2016 13:20,6,2,13-Apr-16,13-Apr-16,Closed,1 - Due less than 7 days,N,Required,RP-Repair
3204929,PV1-1123-TRH0403-ACS,403,AIR CONDITIONING SYSTEM HAULTRUCK CATERPILLAR 789C 403,INSPECTION A / C IN INSP. 250 HRS,21713,20-Apr-16,01-May-16,01-May-16,05-01-16 10:00,1,1,01-May-16,01-May-16,Closed,3 - Due less than 30 days,Y,Required,IN-Inspection
3204953,PV1-1123-TRH0403-FIRE,403,FIRE SUPRESSION SYSTEM HAULTRUCK CATERPILLAR 789C 403,INSPECTION AND / OR MAINTENANCE OF THE FIRE SYSTEM,21713,20-Apr-16,01-May-16,01-May-16,05-01-16 11:00,3,1,01-May-16,01-May-16,Closed,3 - Due less than 30 days,Y,Required,IN-Inspection
3207479,PV1-1123-TRH0403-HYS,403,HYDRAULIC SYSTEM HAULTRUCK CATERPILLAR 789C 403,MODIFY SELF-SERVICE SYSTEM,21713,21-Apr-16,13-Oct-16,14-Oct-16,10/13/2016 21:38,20,20,14-Oct-16,13-Oct-16,Complete,3 - Due less than 30 days,Y,Required,SR-Service
3208114,PV1-1123-TRH0403,403,HAULTRUCK CATERPILLAR 789C 403,Change rear light,37816,21-Apr-16,21-Apr-16,21-Apr-16,4/21/2016 22:04,1,7,22-Apr-16,21-Apr-16,Closed,1 - Due less than 7 days,N,Required,RE-Replace
3209792,PV1-1123-TRH0403-ELS,403,ELECTRICAL SYSTEM HAULTRUCK CATERPILLAR 789C 403,REPAIR WORK LIGHTS.,37814,22-Apr-16,22-Apr-16,22-Apr-16,4/22/2016 18:18,4,5,22-Apr-16,22-Apr-16,Closed,1 - Due less than 7 days,N,Required,RP-Repair
